Flow ID,pipeline_0_1_dec,pipeline_0_8_dec,pipeline_1_start_dec,pipeline_1_end_dec,pipeline_2_start_dec,pipeline_2_end_dec,pipeline_3_start_dec,pipeline_3_end_dec,srcPort,flow_id_hex,class_number,delta_0_us,delta_1,delta_2,delta_3,Flow Duration Original,pipeline_flow_duration
149.154.175.58 10.0.2.16 443 58906,1139533749,1139538288,1139538358,1139538364,1139538382,1139538392,,,443,0x5ae6,4,92,6,10,,4487,4579
149.154.175.58 10.0.2.16 443 49494,1139560605,1139583634,1139583704,1139583709,1139583727,1139583735,,,443,0x54b3,4,6,5,8,,22664,22670
10.0.2.16 149.154.175.53 55350 443,1139842334,1139848664,1139848711,1139848716,1139848734,1139848741,,,55350,0x638c,4,17,5,7,,6237,6254
149.154.167.151 10.0.2.16 443 50766,1139850611,1139855879,1139855949,1139855955,1139855973,1139855985,,,443,0x4492,4,43,6,12,,5179,5222
10.0.2.16 149.154.167.151 50766 443,1139850912,1139856210,1139856266,1139856270,1139856288,1139856297,,,50766,0x3b83,4,12,4,9,,5218,5230
149.154.175.58 10.0.2.16 443 59444,1139867104,1139871257,1139871327,1139871332,1139871350,1139871360,,,443,0x1449,4,26,5,10,,4087,4113
149.154.167.151 10.0.2.16 443 34224,1139884219,1139889669,1139889739,1139889744,1139889762,1139889769,,,443,0x162e,4,25,5,7,,5291,5316
149.154.175.53 10.0.2.16 443 45636,1140084154,1140089819,1140089889,1140089897,1140089915,1140089926,,,443,0x49c4,4,33,8,11,,5597,5630
149.154.175.53 10.0.2.16 443 42374,1140100475,1140109605,1140109615,1140109619,1140109637,1140109644,,,443,0x6653,4,2,4,7,,9028,9030
10.0.2.16 149.154.167.151 56398 443,1140120347,1140126161,1140126189,1140126194,1140126212,1140126217,,,56398,0x2ac1,4,22,5,5,,5730,5752
149.154.167.151 10.0.2.16 443 51128,1140154040,1140158957,1140159029,1140159034,1140159052,1140159060,,,443,0x38dd,4,59,5,8,,4812,4871
149.154.175.53 10.0.2.16 443 45072,1140529641,1140533816,1140533889,1140533906,1140533925,1140533942,,,443,0x6f6a,4,3,17,17,,4103,4106
