Flow ID,pipeline_0_1_dec,pipeline_0_8_dec,pipeline_1_start_dec,pipeline_1_end_dec,pipeline_2_start_dec,pipeline_2_end_dec,pipeline_3_start_dec,pipeline_3_end_dec,srcPort,flow_id_hex,class_number,delta_0_us,delta_1,delta_2,delta_3,Flow Duration Original,pipeline_flow_duration,,,,,,
76.223.92.165 10.0.2.16 443 42914,701570318,701578969,701579042,701579050,701579069,701579079,,,443,0x10d1,3,93,8,10,,8481,8574,,,,,,
10.0.2.16 76.223.92.165 42914 443,701569718,701579304,701579373,701579376,701579393,701579399,,,42914,0x5112,3,48,3,6,,9466,9514,,,,,,
10.0.2.16 76.223.92.165 42898 443,701573367,701583495,701583567,701583571,701583589,701583595,,,42898,0x74a4,3,23,4,6,,10059,10082,,,,,,
13.248.212.111 10.0.2.16 443 54536,701737066,701745313,701745336,701745340,701745358,701745365,,,443,0x58b0,3,29,4,7,,8125,8154,,,,,,
13.248.212.111 10.0.2.16 443 39694,701773437,701781320,701781351,701781354,701781373,701781378,,,443,0x2b19,3,60,3,5,,7775,7835,,,,,,
10.0.2.16 13.248.212.111 39694 443,701773855,701782061,701782133,701782138,701782156,701782159,,,39694,0x7db5,3,28,5,3,,8123,8151,,,,,,
10.0.2.16 13.248.212.111 39688 443,701771686,701783153,701783225,701783231,701783249,701783257,,,39688,0x6fc7,3,52,6,8,,11266,11318,,,,,,
10.0.2.16 76.223.92.165 48710 443,701818348,701826014,701826086,701826091,701826110,701826117,,,48710,0x3383,3,31,5,7,,7511,7542,,,,,,
76.223.92.165 10.0.2.16 443 48710,701817818,701826379,701826412,701826415,701826433,701826440,,,443,0x3251,3,31,3,7,,8439,8470,,,,,,
76.223.92.165 10.0.2.16 443 48712,701816754,701827428,701827500,701827503,701827522,701827528,,,443,0x20db,3,23,3,6,,10507,10530,,,,,,
10.0.2.16 76.223.92.165 48712 443,701816427,701827794,701827818,701827821,701827839,701827845,,,48712,0x4217,3,62,3,6,,11262,11324,,,,,,
13.248.212.111 10.0.2.16 443 50106,701996567,702002009,702002063,702002081,702002102,702002118,,,443,0x20a3,3,53,18,16,,5398,5451,,,,,,
