Flow ID,pipeline_0_1_dec,pipeline_0_8_dec,pipeline_1_start_dec,pipeline_1_end_dec,pipeline_2_start_dec,pipeline_2_end_dec,pipeline_3_start_dec,pipeline_3_end_dec,srcPort,flow_id_hex,class_number,delta_0_us,delta_1,delta_2,delta_3,Flow Duration Original,pipeline_flow_duration,,,,,,
10.0.2.16 20.42.73.24 46290 443,280670049,280676535,280676606,280676612,280676630,280676638,,,46290,0x12d0,6,40,6,8,,6392,6432,,,,,,
20.42.73.24 10.0.2.16 443 46290,280669732,280676907,280676937,280676941,280676959,280676965,,,443,0x772b,6,104,4,6,,7153,7257,,,,,,
23.102.169.166 10.0.2.16 443 51084,280835353,280843205,280843279,280843295,280843315,280843333,,,443,0x2abe,6,61,16,18,,7764,7825,,,,,,
10.0.2.16 52.113.194.132 37668 443,280858523,280969680,280969751,280969755,280969773,280969779,,,37668,0x3e6e,6,5,4,6,,109931,109936,,,,,,
137.117.16.35 10.0.2.16 443 57590,281039739,281056661,281056723,281056727,281056745,281056754,,,443,0x20dd,6,49,4,9,,16739,16788,,,,,,
10.0.2.16 137.117.16.35 57590 443,281040109,281061884,281061956,281061961,281061979,281061988,,,57590,0x4c5d,6,63,5,9,,21453,21516,,,,,,
137.117.16.35 10.0.2.16 443 59642,281149662,281154941,281154947,281154955,281154973,281154985,,,443,0x5a76,6,10,8,12,,5237,5247,,,,,,
10.0.2.16 137.117.16.35 59642 443,281150020,281155369,281155441,281155447,281155465,281155473,,,59642,0x208d,6,16,6,8,,5236,5252,,,,,,
20.189.173.12 10.0.2.16 443 56370,281162932,281173669,281173737,281173743,281173761,281173771,,,443,0x14c0,6,13,6,10,,10631,10644,,,,,,
13.69.109.130 10.0.2.16 443 46923,281168259,281180093,281180097,281180102,281180120,281180128,,,443,0x470a,6,36,5,8,,11782,11818,,,,,,
13.69.239.73 10.0.2.16 443 36476,281192744,281199250,281199323,281199328,281199346,281199356,,,443,0x1a9d,6,53,5,10,,6398,6451,,,,,,
10.0.2.16 40.112.190.240 60464 443,281364926,281380799,281380871,281380876,281380894,281380897,,,60464,0x3e31,6,61,5,3,,15671,15732,,,,,,
40.112.190.240 10.0.2.16 443 60464,281364506,281381123,281381195,281381197,281381215,281381220,,,443,0x4e4b,6,47,2,5,,16429,16476,,,,,,
40.112.190.240 10.0.2.16 443 60442,281372990,281384038,281384045,281384048,281384066,281384070,,,443,0x5e1f,6,91,3,4,,11015,11106,,,,,,
51.11.192.48 10.0.2.16 443 39556,281410396,281419424,281419496,281419501,281419519,281419529,,,443,0x1b5d,6,51,5,10,,8894,8945,,,,,,
40.79.189.59 10.0.2.16 443 55887,281425929,281431497,281431547,281431552,281431569,281431577,,,443,0x336d,6,27,5,8,,5511,5538,,,,,,
137.117.16.35 10.0.2.16 443 54112,281396201,281445895,281445966,281445971,281445989,281445997,,,443,0x40d2,6,17,5,8,,49163,49180,,,,,,
20.42.65.90 10.0.2.16 443 60038,281564608,281568912,281568982,281568989,281569006,281569016,,,443,0x6966,6,62,7,10,,4271,4333,,,,,,
40.79.150.121 10.0.2.16 443 35038,281582741,281587803,281587831,281587837,281587855,281587863,,,443,0x33c6,6,55,6,8,,5004,5059,,,,,,
10.0.2.16 40.79.150.121 35038 443,281583167,281588254,281588326,281588332,281588350,281588359,,,35038,0x4157,6,69,6,9,,4999,5068,,,,,,
20.42.73.24 10.0.2.16 443 59814,281632383,281635861,281635933,281635938,281635956,281635963,,,443,0x5470,6,18,5,7,,3441,3459,,,,,,
10.0.2.16 52.165.180.242 38242 443,281669611,281674813,281674884,281674889,281674907,281674919,,,38242,0x5384,6,18,5,12,,5119,5137,,,,,,
